TIME,GEO,S_ADJ,AGE,UNIT,SEX,Value,Flag and Footnotes
2019M09,France,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,8.4,
2019M09,Croatia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,104,
2019M09,Croatia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,5.8,
2019M09,Croatia,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,115,
2019M09,Croatia,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.4,
2019M09,Italy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"2,534",
2019M09,Italy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,9.8,
2019M09,Italy,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"2,517",
2019M09,Italy,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,9.7,
2019M09,Cyprus,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,26,
2019M09,Cyprus,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,5.9,
2019M09,Cyprus,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,29,
2019M09,Cyprus,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.6,
2019M09,Latvia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,56,
2019M09,Latvia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,5.8,
2019M09,Latvia,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,58,
2019M09,Latvia,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6,
2019M09,Lithuania,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,90,
2019M09,Lithuania,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.1,
2019M09,Lithuania,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,97,
2019M09,Lithuania,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.7,
2019M09,Luxembourg,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,16,
2019M09,Luxembourg,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,5.4,
2019M09,Luxembourg,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,17,
2019M09,Luxembourg,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,5.5,
2019M09,Hungary,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,164,
2019M09,Hungary,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3.5,
2019M09,Hungary,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,164,
2019M09,Hungary,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,3.5,
2019M09,Malta,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,9,
2019M09,Malta,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3.4,
2019M09,Malta,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,9,
2019M09,Malta,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,3.3,
2019M09,Netherlands,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,324,
2019M09,Netherlands,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3.5,
2019M09,Netherlands,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,323,
2019M09,Netherlands,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,3.5,
2019M09,Austria,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,192,
2019M09,Austria,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,4.2,
2019M09,Austria,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,203,
2019M09,Austria,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,4.5,
2019M09,Poland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,524,
2019M09,Poland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3.1,
2019M09,Poland,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,518,
2019M09,Poland,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,3.1,
2019M09,Portugal,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,339,
2019M09,Portugal,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.5,
2019M09,Portugal,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,341,
2019M09,Portugal,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.5,
2019M09,Romania,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,364,
2019M09,Romania,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,4,
2019M09,Romania,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,368,
2019M09,Romania,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,4.1,
2019M09,Slovenia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,47,
2019M09,Slovenia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,4.6,
2019M09,Slovenia,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,48,
2019M09,Slovenia,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,4.7,
2019M09,Slovakia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,163,
2019M09,Slovakia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,5.9,
2019M09,Slovakia,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,157,
2019M09,Slovakia,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,5.7,
2019M09,Finland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,161,
2019M09,Finland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,5.9,
2019M09,Finland,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,187,
2019M09,Finland,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.8,
2019M09,Sweden,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,331,
2019M09,Sweden,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6,
2019M09,Sweden,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,370,
2019M09,Sweden,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.7,
